喜宴,1993,9.0,416286
告白,2010,8.8,727174
头号玩家,2018,8.6,1484546
玛丽和麦克斯,2009,9.0,451502
七武士,1954,9.3,227313
模仿游戏,2014,8.8,707328
大鱼,2003,8.8,614478
惊魂记,1960,9.0,343506
射雕英雄传之东成西就,1993,8.7,703322
血战钢锯岭,2016,8.7,843236
我是山姆,2001,9.0,368212
你的名字。,2016,8.5,1558275
阳光姐妹淘,2011,8.8,627541
恐怖直播,2013,8.7,713697
背靠背，脸对脸,1994,9.5,170293
黑客帝国3：矩阵革命,2003,8.8,486902
心灵奇旅,2020,8.7,1107027
电锯惊魂,2004,8.7,595963
三块广告牌,2017,8.7,900540
小丑,2019,8.7,1106358
谍影重重3,2007,8.9,459650
达拉斯买家俱乐部,2013,8.8,495552
疯狂原始人,2013,8.7,904212
无间道2,2003,8.8,550460
绿里奇迹,1999,8.9,377596
爱在午夜降临前,2013,8.9,458743
海街日记,2015,8.8,507382
风之谷,1984,8.9,386577
上帝之城,2002,9.0,327117
疯狂的石头,2006,8.6,905109
英雄本色,1986,8.6,593891
雨中曲,1952,9.1,259426
2001太空漫游,1968,8.9,380542
心迷宫,2014,8.7,597771
末路狂花,1991,9.0,326838
纵横四海,1991,8.8,465238
记忆碎片,2000,8.7,655645
高山下的花环,1984(中国大陆) / 1985,9.5,144132
卢旺达饭店,2004,8.9,360177
无敌破坏王,2012,8.7,598295
小偷家族,2018,8.7,881272
冰川时代,2002,8.7,672341
恐怖游轮,2009,8.5,964684
东京教父,2003,9.0,278584
牯岭街少年杀人事件,1991,8.9,354682
魔女宅急便,1989,8.7,512370
岁月神偷,2010,8.7,605808
忠犬八公物语,1987,9.2,213952
荒蛮故事,2014,8.7,503594
芙蓉镇,1987,9.3,180113
遗愿清单,2007,8.7,521285
大佛普拉斯,2017,8.7,536829
贫民窟的百万富翁,2008,8.6,795987
源代码,2011,8.6,907204
疯狂的麦克斯4：狂暴之路,2015,8.7,604322
你看起来好像很好吃,2010,8.9,366810
机器人之梦,2023,9.1,372421
东邪西毒,1994,8.6,624062
可可西里,2004,8.9,337394
城市之光,1931,9.3,166710
爆裂鼓手,2014,8.6,673063
波西米亚狂想曲,2018,8.6,673945
花束般的恋爱,2021,8.6,787071
白日梦想家,2013,8.6,615002
爱乐之城,2016,8.4,1064544
黑天鹅,2010,8.6,832611
青蛇,1993,8.6,579115
哈利·波特与死亡圣器(上),2010,8.6,674209
终结者2：审判日,1991,8.8,374379
无耻混蛋,2009,8.7,540836
初恋这件小事,2010,8.5,1037867
新龙门客栈,1992,8.7,495398
雨人,1988,8.7,435767
人工智能,2001,8.7,490616
大红灯笼高高挂,1991,8.8,352737
虎口脱险,1966,8.9,287775
崖上的波妞,2008,8.6,560457
真爱至上,2003,8.5,792571
千钧一发,1997,8.8,337435
罗生门,1950,8.8,349313
恋恋笔记本,2004,8.5,733547
彗星来的那一夜,2013,8.6,663014
哈利·波特与凤凰社,2007,8.6,673212
海边的曼彻斯特,2016,8.6,630891
火星救援,2015,8.5,811673
黑客帝国2：重装上阵,2003,8.7,445282
奇迹男孩,2017,8.6,590852
萤火虫之墓,1988,8.7,432425
千年女优,2001,8.8,308922
战争之王,2005,8.7,406206
步履不停,2008,8.8,314328
谍影重重2,2004,8.7,389955
血钻,2006,8.7,413893
攻壳机动队,1995,9.0,207157
蜘蛛侠：平行宇宙,2018,8.6,740424
冰雪奇缘,2013,8.5,794686
魂断蓝桥,1940,8.8,304125
房间,2015,8.8,394190
隐藏人物,2016,8.9,260427
谍影重重,2002,8.6,476172
